time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-30T20:56:19.986Z,61.617,-147.5978,9.7,2.1,ml,,,,0.87,ak,ak020456ly8n,2020-03-30T21:00:36.665Z,"69km ESE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T20:55:56.636Z,38.1423,-117.8617,11.5,1,ml,6,180.9,0.371,0.1772,nn,nn00720738,2020-03-30T21:34:29.957Z,"56km W of Tonopah, Nevada",earthquake,,18.7,0.01,2,reviewed,nn,nn
2020-03-30T20:41:31.421Z,61.431,-146.5864,33.3,1.5,ml,,,,0.49,ak,ak020456irbq,2020-03-30T20:46:43.332Z,"35km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-30T20:36:52.407Z,63.4433,-149.7298,101.4,1.9,ml,,,,0.52,ak,ak020456hqhv,2020-03-30T20:41:51.505Z,"39km W of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-03-30T20:33:16.720Z,47.5016666666667,-122.623166666667,-0.43,1.67,md,4,340,0.1206,0.02,uw,uw61588287,2020-03-30T20:57:54.330Z,"1km NE of Bethel, Washington",explosion,2.09,31.61,0.528807455399985,4,reviewed,uw,uw
2020-03-30T20:20:09.160Z,44.788,-111.5316667,10.8,0.67,md,10,180,0.084,0.13,mb,mb80387159,2020-03-30T21:01:27.500Z,"36km WNW of West Yellowstone, Montana",earthquake,1.36,1.24,0.755,3,reviewed,mb,mb
2020-03-30T20:16:03.100Z,19.4925003,-155.656662,-2.58,1.82,ml,29,91,0.04503,0.27,hv,hv71451902,2020-03-30T20:21:36.420Z,"22km E of Honaunau-Napoopoo, Hawaii",earthquake,0.48,0.42,5.21,3,automatic,hv,hv
2020-03-30T20:12:27.715Z,59.7622,-153.1862,101.8,2.5,ml,,,,0.6,ak,ak020456cj8k,2020-03-30T21:27:02.040Z,"73km W of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T19:59:17.830Z,35.8688333,-117.7136667,8.43,0.95,ml,16,66,0.07314,0.19,ci,ci39121575,2020-03-30T20:07:15.038Z,"19km ESE of Little Lake, CA",earthquake,0.38,0.94,0.092,11,automatic,ci,ci
2020-03-30T19:56:13.810Z,38.7456665,-122.7018356,1.27,0.64,md,8,141,0.02257,0.04,nc,nc73361895,2020-03-30T19:57:52.957Z,"3km SSW of Anderson Springs, CA",earthquake,0.37,0.69,0.09,3,automatic,nc,nc
2020-03-30T19:55:03.750Z,61.9385,-150.7163,59.4,1.9,ml,,,,0.38,ak,ak02045609lz,2020-03-30T20:08:10.629Z,"41km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-03-30T19:55:01.360Z,38.1193333,-122.1815,-0.1,1.29,md,15,91,0.0257,0.12,nc,nc73361900,2020-03-30T20:51:37.597Z,"5km E of Vallejo, CA",quarry blast,0.31,31.61,0.185,13,reviewed,nc,nc
2020-03-30T19:47:52.160Z,39.4033333,-110.2975,-2.27,1.62,md,7,202,0.02979,0.02,uu,uu60371462,2020-03-30T20:41:42.170Z,"18km SSE of East Carbon City, Utah",earthquake,0.65,1.08,0.13,7,reviewed,uu,uu
2020-03-30T19:44:37.790Z,19.201334,-155.511673,34.79,2.42,ml,55,64,0.04831,0.11,hv,hv71451882,2020-03-30T20:58:27.040Z,"6km NW of Pahala, Hawaii",earthquake,0.45,0.7,3.26,20,automatic,hv,hv
2020-03-30T19:39:09.123Z,63.4944,-151.3664,4.4,1.8,ml,,,,0.69,ak,ak020455wukf,2020-03-30T19:45:24.543Z,"121km W of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-30T19:35:09.060Z,38.7985001,-122.7463303,0.75,0.72,md,10,106,0.01067,0.06,nc,nc73361885,2020-03-30T19:36:47.761Z,"2km NNE of The Geysers, CA",earthquake,0.3,0.6,,1,automatic,nc,nc
2020-03-30T19:33:23.637Z,63.0531,-150.1987,2,2.1,ml,,,,1.08,ak,ak020455vleq,2020-03-30T19:45:24.051Z,"73km WSW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-30T19:27:56.400Z,18.8863335,-155.2429962,2.65,1.91,md,27,262,0.3385,0.36,hv,hv71451872,2020-03-30T19:31:09.190Z,"43km SE of Pahala, Hawaii",earthquake,2.92,3.56,0.42,3,automatic,hv,hv
2020-03-30T19:23:10.760Z,33.2826667,-116.2638333,3.31,0.96,ml,20,70,0.08824,0.21,ci,ci39121551,2020-03-30T19:26:57.190Z,"11km ENE of Borrego Springs, CA",earthquake,0.33,0.46,0.179,13,automatic,ci,ci
2020-03-30T19:22:14.730Z,35.6503333,-117.428,9.58,0.98,ml,15,124,0.1354,0.21,ci,ci39121543,2020-03-30T19:26:00.516Z,"13km S of Searles Valley, CA",earthquake,0.53,1.63,0.123,13,automatic,ci,ci
2020-03-30T19:16:51.537Z,62.979,-150.6601,113.8,1.7,ml,,,,0.26,ak,ak020455s0dz,2020-03-30T19:27:28.111Z,"78km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-03-30T18:57:27.750Z,46.885,-121.989,11.7,1.59,ml,28,51,0.03053,0.12,uw,uw61588237,2020-03-30T19:43:14.140Z,"21km E of Eatonville, Washington",earthquake,0.23,0.34,0.172958642921038,15,reviewed,uw,uw
2020-03-30T18:29:21.380Z,35.7666664,-117.5979996,6.08,0.91,ml,14,221,0.04897,0.11,ci,ci39121487,2020-03-30T18:33:06.317Z,"18km W of Searles Valley, CA",earthquake,1,1,0.166,5,automatic,ci,ci
2020-03-30T18:11:05.040Z,46.8723333,-112.4836667,13.44,1.09,ml,8,106,0.128,0.13,mb,mb80387104,2020-03-30T20:00:21.770Z,"17km ESE of Lincoln, Montana",earthquake,0.45,0.55,0.08,2,reviewed,mb,mb
2020-03-30T17:59:10.920Z,35.3143349,-118.5758362,9.17,1.21,ml,16,90,0.1243,0.12,ci,ci39121455,2020-03-30T18:02:58.408Z,"23km NNW of Tehachapi, CA",earthquake,0.29,0.86,0.272,7,automatic,ci,ci
2020-03-30T17:56:57.950Z,17.9273,-66.888,4,2.6,md,9,220,0.0486,0.16,pr,pr2020090017,2020-03-30T18:26:19.706Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.67,0.46,0.02,3,reviewed,pr,pr
2020-03-30T17:54:40.421Z,-13.7926,66.1605,10,5.1,mb,,85,6.503,1.13,us,us70008iqd,2020-03-30T19:21:44.814Z,"Mid-Indian Ridge",earthquake,6.8,1.6,0.061,87,reviewed,us,us
2020-03-30T17:51:34.530Z,36.0068333,-117.828,2.33,0.29,ml,7,100,0.02883,0.02,ci,ci37439741,2020-03-30T20:23:25.731Z,"10km NE of Little Lake, CA",earthquake,0.12,0.14,0.151,3,reviewed,ci,ci
2020-03-30T17:51:28.640Z,35.7688333,-117.5883333,7.79,0.64,ml,13,95,0.0474,0.16,ci,ci39121447,2020-03-30T20:19:21.941Z,"17km W of Searles Valley, CA",earthquake,0.38,0.62,0.252,5,reviewed,ci,ci
2020-03-30T17:48:19.050Z,37.4906667,-118.8591667,5.15,0.72,md,15,233,0.102,0.05,nc,nc73361870,2020-03-30T21:26:02.752Z,"18km WSW of Toms Place, CA",earthquake,0.52,2.09,0.162,13,reviewed,nc,nc
2020-03-30T17:45:42.600Z,17.8793,-66.8483,15,2.86,md,16,242,0.1007,0.15,pr,pr2020090016,2020-03-30T18:06:57.666Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,0.59,0.66,0.33,6,reviewed,pr,pr
2020-03-30T17:42:47.580Z,39.5977,-119.7595,9,0.3,ml,8,154.91,0.041,0.1183,nn,nn00720735,2020-03-30T20:48:24.198Z,"1km E of Sun Valley, Nevada",earthquake,,1.3,0.28,4,reviewed,nn,nn
2020-03-30T17:38:54.044Z,61.6314,-146.4417,19.9,1.8,ml,,,,0.83,ak,ak020454pv3w,2020-03-30T17:41:54.244Z,"56km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T17:28:56.620Z,36.5766678,-121.1374969,10.35,1.3,md,6,164,0.03888,0.07,nc,nc73361845,2020-03-30T19:12:05.704Z,"5km N of Pinnacles, CA",earthquake,0.87,1.74,0.34,5,automatic,nc,nc
2020-03-30T17:19:03.080Z,18.888,-66.2625,36,3.22,md,16,265,0.49,0.4,pr,pr2020090015,2020-03-30T18:39:12.326Z,"47km N of Dorado, Puerto Rico",earthquake,1.5,5.14,0.15,11,reviewed,pr,pr
2020-03-30T17:18:50.060Z,33.4703333,-116.3598333,7.49,1,ml,32,88,0.1156,0.22,ci,ci39121375,2020-03-30T20:07:43.500Z,"22km SSW of La Quinta, CA",earthquake,0.32,1.54,0.138,23,reviewed,ci,ci
2020-03-30T17:18:21.940Z,40.7286667,-112.0698333,10.59,0.55,md,12,75,0.0256,0.07,uu,uu60371432,2020-03-30T20:36:01.070Z,"3km NE of Magna, Utah",earthquake,0.35,0.81,0.326,5,reviewed,uu,uu
2020-03-30T17:15:21.050Z,40.7311667,-112.0651667,10.07,1.34,ml,19,79,0.02265,0.1,uu,uu60371427,2020-03-30T20:24:08.050Z,"3km NE of Magna, Utah",earthquake,0.32,0.71,0.314,2,reviewed,uu,uu
2020-03-30T17:15:08.448Z,10.4091,-86.3113,10,4.6,mb,,160,0.797,1.15,us,us70008ipe,2020-03-30T20:41:10.040Z,"73km W of Sardinal, Costa Rica",earthquake,4.9,1.7,0.067,67,reviewed,us,us
2020-03-30T17:07:36.840Z,38.776001,-122.7128296,1.84,1.01,md,13,83,0.01316,0.02,nc,nc73361835,2020-03-30T17:49:03.147Z,"2km W of Anderson Springs, CA",earthquake,0.23,0.41,0.03,3,automatic,nc,nc
2020-03-30T17:02:06.910Z,17.939,-66.892,5,2.69,md,17,195,0.0383,0.22,pr,pr2020090014,2020-03-30T17:29:15.352Z,"3km SSE of Guanica, Puerto Rico",earthquake,0.59,0.41,0.41,5,reviewed,pr,pr
2020-03-30T17:00:41.350Z,46.928,-112.5005,7.19,1.27,ml,8,128,0.11,0.21,mb,mb80387069,2020-03-30T17:20:24.480Z,"14km ESE of Lincoln, Montana",earthquake,1,2.09,0.029,2,reviewed,mb,mb
2020-03-30T16:59:46.120Z,46.6411667,-113.4803333,4.22,1.51,ml,16,76,0.205,0.18,mb,mb80387059,2020-03-30T17:16:46.330Z,"22km SE of Clinton, Montana",earthquake,0.48,10.48,0.058,2,reviewed,mb,mb
2020-03-30T16:59:36.500Z,33.6518333,-116.708,13.81,0.65,ml,19,58,0.0594,0.15,ci,ci39121359,2020-03-30T17:03:20.287Z,"10km S of Idyllwild, CA",earthquake,0.42,0.51,0.093,9,automatic,ci,ci
2020-03-30T16:59:18.881Z,63.5616,-149.0624,73.3,1.5,ml,,,,0.58,ak,ak0204548uts,2020-03-30T17:02:37.032Z,"19km NNW of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
2020-03-30T16:58:21.380Z,35.8965,-117.743,6.82,0.88,ml,16,59,0.08038,0.15,ci,ci39121351,2020-03-30T17:02:08.862Z,"15km ESE of Little Lake, CA",earthquake,0.27,0.66,0.202,14,automatic,ci,ci
2020-03-30T16:51:55.340Z,44.4576667,-110.5776667,3.01,1.02,md,5,143,0.02195,0.06,uu,uu60371417,2020-03-30T21:06:12.200Z,"19km E of Old Faithful Geyser, Wyoming",earthquake,0.62,0.75,0.622,3,reviewed,uu,uu
2020-03-30T16:50:14.640Z,35.369,-118.1675,10.09,1.07,ml,12,87,0.1687,0.1,ci,ci39121335,2020-03-30T16:54:00.808Z,"32km NNW of California City, CA",earthquake,0.21,0.68,0.147,9,automatic,ci,ci
2020-03-30T16:47:42.055Z,60.34,-147.1547,20.3,1.9,ml,,,,1.17,ak,ak0204546c0q,2020-03-30T16:52:24.753Z,"80km WSW of Cordova, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-30T16:47:23.701Z,11.8172,-86.6055,85.51,4.7,mb,,131,0.44,0.82,us,us70008ip1,2020-03-30T21:52:12.783Z,"10km WNW of Masachapa, Nicaragua",earthquake,5.9,6.3,0.049,127,reviewed,us,us
2020-03-30T16:42:57.830Z,17.9505,-66.8341,9,3.15,md,20,188,0.0514,0.29,pr,pr2020090013,2020-03-30T18:15:13.040Z,"8km SE of Guanica, Puerto Rico",earthquake,0.71,0.64,0.23,17,reviewed,pr,pr
2020-03-30T16:42:41.951Z,63.3006,-149.7302,98.5,1.4,ml,,,,0.72,ak,ak02045459ex,2020-03-30T16:46:02.814Z,"40km WSW of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-03-30T16:41:15.670Z,38.7883339,-122.7689972,1.45,0.4,md,12,82,0.01426,0.03,nc,nc73361820,2020-03-30T17:54:02.359Z,"2km NW of The Geysers, CA",earthquake,0.27,0.55,0.16,2,automatic,nc,nc
2020-03-30T16:38:20.883Z,60.4034,-151.0034,16.2,1.7,ml,,,,0.73,ak,ak0204544cy0,2020-03-30T16:44:22.057Z,"9km SSE of Soldotna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T16:35:15.720Z,41.4776667,-112.2985,1.83,0.24,md,4,196,0.1196,0.15,uu,uu60371407,2020-03-30T21:01:57.870Z,"22km W of Perry, Utah",earthquake,2.05,9.52,0.144,4,reviewed,uu,uu
2020-03-30T16:25:27.230Z,58.8843,-150.646,36,2.2,ml,,,,0.68,ak,ak0204541l4j,2020-03-30T16:42:41.033Z,"98km SSE of Homer, Alaska",earthquake,,3.3,,,automatic,ak,ak
2020-03-30T16:16:49.930Z,61.0006,-140.1904,0,1.8,ml,,,,0.79,ak,ak020453zpfy,2020-03-30T16:42:40.611Z,"148km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T16:14:48.621Z,58.8062,-157.265,0,2,ml,,,,0.47,ak,ak020453z9z8,2020-03-30T16:24:26.941Z,"37km WNW of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-30T16:11:37.020Z,46.9051667,-112.5028333,18.45,-0.53,md,8,123,0.109,0.17,mb,mb80387124,2020-03-30T19:55:12.990Z,"14km ESE of Lincoln, Montana",earthquake,1.39,1.03,,1,reviewed,mb,mb
2020-03-30T16:06:43.420Z,17.9206,-66.8906,5,4.22,md,21,203,0.0557,0.13,pr,pr2020090012,2020-03-30T22:29:18.333Z,"12km S of Guanica, Puerto Rico",earthquake,0.51,0.29,0.27,15,reviewed,pr,pr
2020-03-30T15:52:49.101Z,23.9885,123.4612,34.98,5.3,mww,,99,0.629,0.62,us,us70008ing,2020-03-30T21:42:45.040Z,"70km SE of Yonakuni, Japan",earthquake,7.5,5.2,0.069,20,reviewed,us,us
2020-03-30T15:43:24.390Z,33.3511667,-116.3563333,7.6,1,ml,33,41,0.04068,0.21,ci,ci39121247,2020-03-30T16:23:05.569Z,"11km N of Borrego Springs, CA",earthquake,0.29,0.72,0.156,20,reviewed,ci,ci
2020-03-30T15:42:33.299Z,36.6874,71.1079,212.2,4.9,mww,,61,2.085,0.66,us,us70008in9,2020-03-30T18:21:19.186Z,"31km SE of Jarm, Afghanistan",earthquake,7.3,6.5,0.071,19,reviewed,us,us
2020-03-30T15:31:43.217Z,66.3741,-157.2026,1.8,1.7,ml,,,,0.69,ak,ak020453hh1t,2020-03-30T15:40:06.817Z,"61km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T15:26:23.950Z,39.0159988,-123.0588303,4.62,1.76,md,15,78,0.02482,0.09,nc,nc73361800,2020-03-30T16:35:03.439Z,"13km WSW of Lakeport, CA",earthquake,0.33,0.68,0.13,12,automatic,nc,nc
2020-03-30T15:16:45.123Z,64.9996,-147.287,0,1.5,ml,,,,0.67,ak,ak020453e9gd,2020-03-30T15:20:23.227Z,"25km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-30T15:14:36.006Z,62.8289,-150.0695,81.8,1.4,ml,,,,0.22,ak,ak020453dtba,2020-03-30T15:18:42.474Z,"56km N of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-03-30T15:00:42.880Z,40.7336667,-112.0448333,8.09,0.63,md,16,62,0.009556,0.1,uu,uu60371402,2020-03-30T16:10:01.220Z,"5km NW of West Valley City, Utah",earthquake,0.3,0.66,0.446,5,reviewed,uu,uu
2020-03-30T14:55:01.450Z,19.2148342,-155.4004974,32.48,2.11,ml,55,151,0.02273,0.12,hv,hv71451582,2020-03-30T17:17:35.562Z,"8km E of Pahala, Hawaii",earthquake,0.52,0.73,4.09,5,automatic,hv,hv
2020-03-30T14:53:34.109Z,-26.9761,-71.2821,10,4.8,mb,,154,0.406,1.02,us,us70008imv,2020-03-30T16:19:26.040Z,"103km WNW of Copiapo, Chile",earthquake,5.4,1.9,0.149,14,reviewed,us,us
2020-03-30T14:47:43.044Z,82.8326,-27.2003,10,4.6,mb,,101,7.169,0.42,us,us70008imu,2020-03-30T15:32:46.040Z,"187km NW of Nord, Greenland",earthquake,10.4,1.9,0.047,135,reviewed,us,us
2020-03-30T14:33:02.943Z,39.1241,-119.7457,8.1,0.3,ml,3,156.63,0.039,0.0535,nn,nn00720734,2020-03-30T20:36:03.077Z,"4km SSE of Carson City, Nevada",earthquake,,8.8,0,1,reviewed,nn,nn
2020-03-30T14:31:33.370Z,33.9226667,-116.85,6.65,0.82,ml,18,49,0.09905,0.2,ci,ci39121183,2020-03-30T14:35:18.646Z,"2km E of Banning, CA",earthquake,0.4,1.42,0.323,18,automatic,ci,ci
2020-03-30T14:18:25.400Z,36.7061653,-121.3590012,6.03,1.73,md,23,128,0.08032,0.08,nc,nc73361780,2020-03-30T15:54:02.211Z,"10km SSW of Tres Pinos, CA",earthquake,0.39,1.09,0.29,18,automatic,nc,nc
2020-03-30T14:12:29.390Z,40.7363333,-112.0823333,8.74,0.63,md,9,80,0.01742,0.09,uu,uu60371397,2020-03-30T20:54:41.870Z,"3km NNE of Magna, Utah",earthquake,0.4,0.79,0.171,3,reviewed,uu,uu
2020-03-30T14:05:57.080Z,35.9881668,-120.5426636,3.34,1.02,md,16,106,0.02177,0.03,nc,nc73361775,2020-03-30T15:28:04.057Z,"14km NW of Parkfield, CA",earthquake,0.3,0.71,0.09,6,automatic,nc,nc
2020-03-30T13:59:39.790Z,40.7271667,-112.0656667,8.65,0.66,md,12,87,0.02797,0.13,uu,uu60371392,2020-03-30T21:08:48.420Z,"3km ENE of Magna, Utah",earthquake,0.46,0.77,0.16,4,reviewed,uu,uu
2020-03-30T13:58:35.840Z,36.0901667,-117.839,2.18,0.47,ml,9,153,0.03022,0.13,ci,ci39121111,2020-03-30T14:02:11.789Z,"11km ENE of Coso Junction, CA",earthquake,0.68,0.45,0.119,4,automatic,ci,ci
2020-03-30T13:45:43.450Z,17.9518,-66.8421,12,2.48,md,17,196,0.0438,0.17,pr,pr2020090011,2020-03-30T14:28:42.658Z,"5km SSW of Indios, Puerto Rico",earthquake,0.59,0.38,0.44,5,reviewed,pr,pr
2020-03-30T13:45:00.751Z,62.1882,-153.2809,0,1.4,ml,,,,0.33,ak,ak020452dil7,2020-03-30T13:48:55.781Z,"146km SE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-30T13:42:49.957Z,66.9622,-151.4939,27.1,2.2,ml,,,,0.9,ak,ak020452cz6o,2020-03-30T13:51:06.498Z,"65km WSW of Coldfoot, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-30T13:37:16.630Z,44.8056667,-111.5445,11.5,0.9,ml,16,92,0.085,0.15,mb,mb80387039,2020-03-30T14:31:17.730Z,"38km WNW of West Yellowstone, Montana",earthquake,0.45,0.61,0.036,6,reviewed,mb,mb
2020-03-30T13:35:57.470Z,40.747,-111.9408333,4.93,0.69,md,13,100,0.02536,0.17,uu,uu60371382,2020-03-30T21:10:54.320Z,"4km WSW of Salt Lake City, Utah",earthquake,0.61,0.89,0.296,4,reviewed,uu,uu
2020-03-30T13:33:20.200Z,40.7583333,-111.9485,8.38,0.97,md,11,112,0.02735,0.14,uu,uu60371377,2020-03-30T21:05:38.430Z,"4km W of Salt Lake City, Utah",earthquake,0.5,1.25,0.358,5,reviewed,uu,uu
2020-03-30T13:25:40.670Z,38.8023338,-122.8215027,2.35,0.57,md,14,77,0.008862,0.02,nc,nc73361770,2020-03-30T13:51:06.156Z,"6km WNW of The Geysers, CA",earthquake,0.29,0.56,0.01,2,automatic,nc,nc
2020-03-30T13:13:48.280Z,36.1235,-117.9048333,4.26,0.9,ml,16,142,0.04089,0.11,ci,ci39121063,2020-03-30T16:40:42.982Z,"10km NNE of Coso Junction, CA",earthquake,0.3,0.32,0.208,6,reviewed,ci,ci
2020-03-30T13:06:34.340Z,35.6676667,-117.4945,4.34,0.84,ml,9,161,0.1699,0.17,ci,ci39121055,2020-03-30T14:13:42.031Z,"14km SW of Searles Valley, CA",earthquake,0.66,1.38,0.139,8,reviewed,ci,ci
2020-03-30T13:05:48.762Z,60.1914,-151.0685,57.7,2,ml,,,,0.45,ak,ak02045251qq,2020-03-30T13:11:27.950Z,"23km SSE of Cohoe, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-03-30T12:53:04.540Z,37.6531677,-118.9141693,2.55,0.93,md,11,132,0.006887,0.06,nc,nc73361755,2020-03-30T14:07:05.264Z,"6km ENE of Mammoth Lakes, CA",earthquake,0.45,0.79,0.11,10,automatic,nc,nc
2020-03-30T12:34:19.040Z,33.992,-117.1666667,14.25,0.83,ml,31,51,0.0448,0.14,ci,ci39120983,2020-03-30T16:20:30.551Z,"7km SSE of Redlands, CA",earthquake,0.18,0.46,0.152,10,reviewed,ci,ci
2020-03-30T12:31:10.911Z,39.117,-119.7359,8.1,0.8,ml,7,131.79,0.026,0.1722,nn,nn00720731,2020-03-30T20:20:39.768Z,"5km SSE of Carson City, Nevada",earthquake,,1.9,0,1,reviewed,nn,nn
2020-03-30T12:29:51.550Z,40.7306667,-112.0581667,5.59,2.07,ml,39,28,0.01734,0.18,uu,uu60371372,2020-03-30T22:13:24.409Z,"4km ENE of Magna, Utah",earthquake,0.28,0.42,0.09,10,reviewed,uu,uu
2020-03-30T12:17:45.890Z,35.9233333,-117.6875,8.24,0.74,ml,13,66,0.03884,0.08,ci,ci39120975,2020-03-30T13:01:55.580Z,"20km E of Little Lake, CA",earthquake,0.21,0.47,0.144,9,reviewed,ci,ci
2020-03-30T12:13:27.899Z,36.71533333,-99.3685,5,1.85,ml,36,80,0.2285551497,0.35,ok,ok2020ghnz,2020-03-30T13:58:41.463Z,"26km ESE of Buffalo, Oklahoma",earthquake,,1.1,0.28,17,reviewed,ok,ok
2020-03-30T12:07:25.330Z,38.8151665,-122.7839966,1.44,0.4,md,11,62,0.003213,0.02,nc,nc73361735,2020-03-30T13:25:06.001Z,"5km NNW of The Geysers, CA",earthquake,0.38,0.59,0.16,2,automatic,nc,nc
2020-03-30T12:06:54.760Z,38.8196678,-122.7808304,0.97,2.31,md,52,27,0.0064,0.07,nc,nc73361740,2020-03-30T13:40:06.087Z,"5km W of Cobb, CA",earthquake,0.14,0.22,0.15,29,automatic,nc,nc
2020-03-30T11:55:34.540Z,37.6399994,-118.9380035,4.83,1.14,md,11,71,0.02604,0.02,nc,nc73361720,2020-03-30T12:32:02.695Z,"4km E of Mammoth Lakes, CA",earthquake,0.56,1.11,0.12,10,automatic,nc,nc
2020-03-30T11:54:48.410Z,37.5923333,-119.012,1.39,0.39,md,15,189,0.02171,0.05,nc,nc73361725,2020-03-30T21:02:03.107Z,"6km SSW of Mammoth Lakes, CA",earthquake,0.65,0.48,0.12,12,reviewed,nc,nc
2020-03-30T11:50:04.580Z,17.9265,-66.8831,5,2.14,md,10,224,0.0488,0.17,pr,pr2020090009,2020-03-30T12:23:48.550Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.63,0.39,0.27,8,reviewed,pr,pr
